対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名	分類	採算科目名_経費合計
202607	006090100	49	修繕費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	修繕費
202607	006090100	50	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	支払リース料
202607	006090100	51	保険料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	保険料
202607	006090100	52	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	支払報酬
202607	006090100	53	支払手数料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	支払手数料
202607	006090100	54	診断料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	診断料
202607	006090100	55	諸会費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	諸会費
202607	006090100	56	会議費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	会議費
202607	006090100	57	寄付金	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	寄付金
202607	006090100	58	租税公課	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	租税公課
202607	006090100	59	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	業務委託費
202607	006090100	60	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	業務受託収入
202607	006090100	61	情報機器利用料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	情報機器利用料
202607	006090100	62	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	貸倒金
202607	006090100	63	雑費	1000.0	1000.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	雑費
202607	006090100	64	福利消耗品費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	福利消耗品費
