対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名
202208	230W60100	15	肥料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	16	培土費用	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	17	農薬衛生費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	18	農具費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	19	諸材料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	20	その他仕入高	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	21	減価償却費	200754.0	200754.0	200754.0	0.0	100.0	100.0	管理購買部
202208	230W60100	22	車両費	101690.0	101690.0	95300.0	0.0	93.7	93.7	管理購買部
202208	230W60100	23	旅費交通費	5000.0	55000.0	22462.0	0.0	40.8	449.2	管理購買部
202208	230W60100	24	荷造運搬費	250000.0	350000.0	220893.0	0.0	63.1	88.3	管理購買部
202208	230W60100	25	通信費	15806.0	18358.0	20338.0	0.0	110.7	128.6	管理購買部
202208	230W60100	26	水道光熱費	2700.0	2700.0	2418.0	0.0	89.5	89.5	管理購買部
202208	230W60100	27	動力費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	28	燃料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	29	事務用品費	35000.0	35000.0	26010.0	0.0	74.3	74.3	管理購買部
202208	230W60100	30	消耗品費	20000.0	20000.0	20142.0	0.0	100.7	100.7	管理購買部
202208	230W60100	31	廃棄物処理料	16000.0	16000.0	16000.0	0.0	100.0	100.0	管理購買部
202208	230W60100	32	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202208	230W60100	33	接待交際費	5000.0	20000.0	9570.0	0.0	47.8	191.4	管理購買部
